observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
9/6/2016,40.54103748,46.21,52.54103748
9/2/2016,39.8955339,45.96,51.8955339
9/1/2016,42.11885557,45.05,54.11885557
8/31/2016,42.23247279,47.94,54.23247279
8/30/2016,44.11854018,47.94,56.11854018
8/29/2016,43.74246479,49.66,55.74246479
8/26/2016,43.45795405,49.66,55.45795405
8/25/2016,41.81666835,49.25,53.81666835
8/24/2016,42.90676934,47.56,54.90676934
8/23/2016,42.46952981,48.7,54.46952981
8/22/2016,43.30627115,48.1,55.30627115
8/19/2016,43.40115501,49.39,55.40115501
8/18/2016,42.90640607,49.46,54.90640607
8/17/2016,42.80036621,48.58,54.80036621
8/16/2016,41.86763186,48.27,53.86763186
8/15/2016,39.80833571,47.31,51.80833571
8/12/2016,38.8891195,45.12,50.8891195
8/11/2016,37.22777898,44.23,49.22777898
8/10/2016,38.32943661,42.19,50.32943661
8/9/2016,38.23080805,43.37,50.23080805
8/8/2016,37.44170717,43.24,49.44170717
8/5/2016,36.60005443,42.47,48.60005443
8/4/2016,35.61904719,41.33,47.61904719
8/3/2016,35.10038212,40.45,47.10038212
8/2/2016,35.55011406,40,47.55011406
8/1/2016,35.95146451,40.17,47.95146451
7/29/2016,36.8320507,40.76,48.8320507
7/28/2016,37.65326782,41.87,49.65326782
7/27/2016,38.25567385,42.78,50.25567385
7/26/2016,38.67096681,43.56,50.67096681
7/25/2016,39.07859089,43.76,51.07859089
7/22/2016,39.55753087,44.24,51.55753087
7/21/2016,40.22749216,44.99,52.22749216
7/20/2016,40.01595711,45.82,52.01595711
7/19/2016,40.05564003,45.7,52.05564003
7/18/2016,40.76364603,45.35,52.76364603
7/15/2016,40.28230372,46.25,52.28230372
7/14/2016,39.69493549,46.01,51.69493549
7/13/2016,40.80571068,44.67,52.80571068
7/12/2016,39.01499815,46.72,51.01499815
7/11/2016,39.17914456,44.04,51.17914456
7/8/2016,40.84727051,44.53,52.84727051
7/7/2016,40.17695244,45.93,52.17695244
7/6/2016,40.07646984,45.7,52.07646984
7/5/2016,41.95787101,45.64,53.95787101
7/1/2016,42.25736698,47.65,54.25736698
6/30/2016,42.53999529,48.05,54.53999529
6/29/2016,40.92849227,48.4,52.92849227
6/28/2016,39.92492624,46.29,51.92492624
6/27/2016,41.32481857,45.07,53.32481857
6/24/2016,42.5040896,46.69,54.5040896
6/23/2016,42.57508664,48.63,54.57508664
6/22/2016,42.61319365,48.43,54.61319365
6/21/2016,43.05239058,48.18,55.05239058
6/20/2016,41.05678629,48.68,53.05678629
6/17/2016,40.46739191,46.57,52.46739191
6/16/2016,41.81706796,45.66,53.81706796
6/15/2016,42.45351328,47.47,54.45351328
6/14/2016,43.16360778,47.88,55.16360778
6/13/2016,43.54000259,49.36,55.54000259
6/10/2016,44.24113904,49.7,56.24113904
6/9/2016,45.01433317,50.59,57.01433317
6/8/2016,43.7534369,50.73,55.7534369
6/7/2016,43.05108275,49.76,55.05108275
6/6/2016,42.53933259,48.94,54.53933259
6/3/2016,43.10565647,48.5,55.10565647
6/2/2016,43.05446692,49.05,55.05446692
6/1/2016,43.30368553,48.81,55.30368553
5/31/2016,43.13157001,49.26,55.13157001
5/27/2016,43.57845903,49.09,55.57845903
5/26/2016,43.084782,49.52,55.084782
5/25/2016,42.95561357,48.87,54.95561357
5/24/2016,42.23027408,48.42,54.23027408
5/23/2016,42.83396552,47.77,54.83396552
5/20/2016,41.11891561,48.54,53.11891561
5/19/2016,43.19179491,47.01,55.19179491
5/18/2016,42.49654239,48.93,54.49654239
5/17/2016,42.78626334,48.71,54.78626334
5/16/2016,41.24103415,48.49,53.24103415
5/13/2016,40.925574,47.05,52.925574
5/12/2016,40.41949083,46.43,52.41949083
5/11/2016,38.74789017,46.08,50.74789017
5/10/2016,37.41015615,44.01,49.41015615
5/9/2016,39.32046856,42.43,51.32046856
5/6/2016,39.2251225,44.6,51.2251225
5/5/2016,37.98799179,44.39,49.98799179
5/4/2016,37.78327944,43.08,49.78327944
5/3/2016,40.56437186,43.09,52.56437186
5/2/2016,40.06824178,45.82,52.06824178
4/29/2016,40.30657374,45.64,52.30657374
4/28/2016,39.0793771,45.6,51.0793771
4/27/2016,38.7894337,44.17,50.7894337
4/26/2016,37.84004308,43.94,49.84004308
4/25/2016,38.86150169,42.97,50.86150169
4/22/2016,38.24331544,43.97,50.24331544
4/21/2016,37.83639872,43.48,49.83639872
4/20/2016,37.84036813,43.09,49.84036813
4/19/2016,36.688112,43.02,48.688112
4/18/2016,36.43052795,41.64,48.43052795
4/15/2016,38.10789434,41.32,50.10789434
